Mean,High,Low,Open,Ma,Rsi,CCI,adx,Macd,atr,Chaiken,HighLow,Aligator,AC,AD,Close,Date,Dt,Mom-BollObv,Adx-Boll
6872,6914,6830,0.89907,0.89837,51.13528,108.18375,15.06163,-7.00E-05,0.00115,1654597,-4176.77095,0.89837,0.00014,-1945773.678,0.89907,2018.12.27 04:00:00,1,1,1
6914.5,6934,6895,0.89918,0.89845,51.55659,104.88794,15.90792,0,0.00112,1658970,-3145.19472,0.89845,0.0003,-1944988.781,0.89918,2018.12.27 05:00:00,1,1,1
6913.5,6934,6893,0.89911,0.89851,51.26127,86.09859,16.50198,5.00E-05,0.00111,1655310,-2441.37446,0.89851,0.00039,-1945435.122,0.89911,2018.12.27 06:00:00,1,1,1
6927.5,6956,6899,0.89949,0.8986,52.80226,109.25414,17.88036,0.00012,0.00111,1659521,-1400.62406,0.8986,0.00046,-1942258.403,0.89949,2018.12.27 07:00:00,1,1,1
6934,6960,6908,0.89939,0.89867,52.34496,89.93786,19.29127,0.00016,0.00107,1654629,-509.52133,0.89867,0.0005,-1941317.634,0.89939,2018.12.27 08:00:00,1,1,1
6904,6955,6853,0.89913,0.89871,51.13591,58.28606,18.58742,0.00017,0.00108,1649706,247.84132,0.89871,0.0004,-1940448.869,0.89913,2018.12.27 09:00:00,1,1,1
6972,7032,6912,0.9,0.89883,54.92039,133.25198,19.36728,0.00025,0.00109,1655032,1196.37324,0.89883,0.00033,-1937697.102,0.90003,2018.12.27 10:00:00,1,1,1
7118.5,7257,6980,0.90229,0.89914,62.56492,275.71074,21.38288,0.00049,0.00115,1662992,2826.25714,0.89914,0.00044,-1931346.344,0.90229,2018.12.27 11:00:00,1,1,1
7231,7328,7134,0.90228,0.89943,62.51567,230.5915,23.68872,0.00067,0.00118,1656707,3842.38418,0.89943,0.00066,-1931540.726,0.90228,2018.12.27 12:00:00,1,1,1
7234,7334,7134,0.90161,0.89963,59.28151,153.31304,25.82353,0.00075,0.00124,1651914,3898.85479,0.89963,0.00081,-1934991.686,0.90162,2018.12.27 13:00:00,1,1,1
7082,7222,6942,0.89965,0.89963,51.01073,25.08549,25.53096,0.00065,0.00124,1645304,2969.9176,0.89963,0.00072,-1940515.757,0.89965,2018.12.27 14:00:00,1,1,1
7097,7242,6952,0.90205,0.89985,58.42971,158.83614,25.39257,0.00076,0.00132,1652054,3068.89646,0.89985,0.00053,-1935488.171,0.90205,2018.12.27 15:00:00,1,1,1
7276.5,7402,7151,0.9039,0.90022,62.96873,208.37806,26.3421,0.00098,0.00133,1657956,3915.80844,0.90022,0.00042,-1930150.506,0.9039,2018.12.27 16:00:00,1,1,1
7262.5,7395,7130,0.90206,0.90038,56.36666,99.29169,26.94793,0.00099,0.00142,1649562,3784.42138,0.90038,0.00015,-1934046.589,0.90201,2018.12.27 17:00:00,1,1,1
7275,7387,7163,0.90383,0.9007,60.5697,151.65601,27.49868,0.00113,0.00145,1656144,4627.91779,0.9007,0,-1927640.892,0.90384,2018.12.27 18:00:00,1,1,1
7476,7608,7344,0.90488,0.90108,62.69346,160.15521,29.28056,0.00131,0.00154,1662503,5182.15396,0.90108,0.00043,-1927110.976,0.90487,2018.12.27 19:00:00,1,1,1
7496,7560,7432,0.90495,0.90143,62.85662,139.33806,30.90046,0.00145,0.00156,1666778,5431.63925,0.90143,0.00076,-1927177.772,0.90495,2018.12.27 20:00:00,1,1,1
7526,7569,7483,0.90527,0.90178,63.54711,132.17666,32.5214,0.00156,0.00152,1671491,5513.17072,0.90178,0.00077,-1926958.563,0.90528,2018.12.27 21:00:00,1,1,1
7470.5,7568,7373,0.90397,0.90198,58.94483,82.45269,31.90476,0.00153,0.00157,1666111,4789.45869,0.90198,0.00066,-1931069.435,0.90396,2018.12.27 22:00:00,1,1,1
7389.5,7414,7365,0.90365,0.90213,57.94341,67.16462,30.80798,0.00146,0.00156,1663362,3767.67707,0.90213,0.00037,-1933706.231,0.90366,2018.12.27 23:00:00,1,1,1
7365,7437,7293,0.90381,0.90228,58.31521,66.44135,28.32426,0.0014,0.00159,1664293,3018.29291,0.90228,-0.00016,-1933499.342,0.90381,2018.12.28 00:00:00,1,1,1
7373.5,7407,7340,0.9039,0.90243,58.495,63.50565,26.06633,0.00135,0.00158,1666280,2575.5769,0.90243,-0.00051,-1932639.297,0.90388,2018.12.28 01:00:00,1,1,1
7434.5,7485,7384,0.90485,0.90265,60.94589,90.08696,25.79657,0.00137,0.00161,1669699,2759.12106,0.90265,-0.0007,-1929220.297,0.90485,2018.12.28 02:00:00,1,1,1
7467.5,7500,7435,0.90455,0.90282,59.79917,72.2434,25.98905,0.00134,0.00162,1667440,2683.33198,0.90282,-0.00061,-1930089.143,0.90455,2018.12.28 03:00:00,1,1,1
7431.5,7481,7382,0.90463,0.90298,60.00985,69.57797,24.56205,0.00131,0.00164,1669719,2801.39799,0.90298,-0.00036,-1928638.871,0.90463,2018.12.28 04:00:00,1,1,1
7468.5,7496,7441,0.90443,0.90312,59.19551,57.15309,23.84923,0.00126,0.00165,1666871,2398.09057,0.90312,-0.00013,-1931279.743,0.90443,2018.12.28 05:00:00,1,1,1
7446,7477,7415,0.90418,0.90321,58.15964,41.68092,22.05404,0.00118,0.00163,1665018,1802.33932,0.90321,-4.00E-05,-1932953.421,0.90418,2018.12.28 06:00:00,1,1,1
7452,7487,7417,0.9045,0.90333,59.12106,55.57063,20.76149,0.00114,0.0016,1666852,1338.5103,0.90333,-0.00013,-1933058.221,0.9045,2018.12.28 07:00:00,1,1,1
7453,7479,7427,0.90472,0.90346,59.78808,65.70618,19.58643,0.0011,0.0015,1669326,1279.46667,0.90346,-0.00027,-1931250.298,0.90472,2018.12.28 08:00:00,1,1,1
7463,7522,7404,0.90495,0.90359,60.3744,75.23272,19.41707,0.00108,0.00146,1672272,1432.55614,0.90359,-0.0003,-1929852.196,0.90491,2018.12.28 09:00:00,1,1,1
7541,7590,7492,0.90552,0.90376,62.20181,113.15412,20.62411,0.0011,0.00141,1676935,1655.77333,0.90376,-0.00026,-1928900.563,0.90551,2018.12.28 10:00:00,1,1,1
7511.5,7597,7426,0.90496,0.90387,59.55817,69.59313,20.50182,0.00106,0.00136,1671254,1606.4897,0.90387,-0.0002,-1929930.452,0.90496,2018.12.28 11:00:00,1,1,1
